url_hash,room_count,house_floors,apt_floor,price,sqm,sqm_price,apt_address,listed_date,removed_date,days_listed,view_count
eeejb,1,3,1,28500,26,1096,Tūrkalnes 5,2021.12.06,2022.01.03,27,
cklxo,3,9,6,95000,63,1508,Zilo kalnu prospekts 10,2021.12.07,2022.01.04,27,
achbp,1,9,5,33000,43,767,Tīnūžu 7,2021.12.23,2022.01.05,12,
anfbo,2,3,2,37600,47,800,Turkalnes 1,2021.12.20,2022.01.05,15,
aaoxj,2,5,5,38000,37,1027,Mālkalnes prospekts 18,2021.12.09,2022.01.06,27,
dlonf,2,5,1,50000,46,1087,Rīgas iela 6,2021.12.09,2022.01.06,27,
fnknk,1,9,6,35000,45,778,Tīnūžu 13,2021.12.09,2022.01.06,27,
acxbj,1,9,8,32500,31,1048,Ausekla pr. 8,2021.12.10,2022.01.07,27,
gimbe,2,3,3,32500,46,707,Celtnieku 6,2021.12.10,2022.01.07,27,
bgjck,4,9,9,85000,78,1090,Ausekļa prospekts 7a,2021.12.16,2022.01.09,23,
dighl,2,5,5,68000,50,1360,Lapu 4,2021.10.17,2022.01.09,83,
exnml,1,5,1,29990,34,882,Grīvas prospekts 27,2021.12.28,2022.01.09,11,
bfpbl,1,9,1,28000,23,1217,Ikšķiles iela 2,2022.01.10,2022.01.10,0,
cefhh,3,9,3,70000,63,1111,Ausekļa prospekts 7,2021.12.13,2022.01.10,27,
exnml,1,5,1,28000,34,824,Grīvas prospekts 27,2022.01.10,2022.01.13,2,
hpxhl,4,9,2,85000,76,1118,Zilokalnu prospekts 20,2021.12.17,2022.01.14,27,
affhp,3,9,6,80000,62,1290,Meža prospekts 11,2021.10.27,2022.01.15,79,
afdco,2,9,5,47000,49,959,Tīnužu iela 18,2022.01.11,2022.01.16,4,
dpldg,4,9,6,79999,76,1053,Ausekļa 10,2021.12.19,2022.01.16,27,
fgcpx,1,5,5,42000,31,1355,Mālkalnes prospekts 9,2021.11.21,2022.01.16,55,
cklxo,3,9,6,95000,63,1508,Zilo kalnu prospekts 10,2022.01.05,2022.01.17,11,
cxcxp,2,5,4,45000,48,938,Mālkalnes prospekts 7,2021.12.30,2022.01.18,18,
idbkd,1,5,5,28500,34,838,Mālkalnes prospekts 5,2022.01.09,2022.01.18,8,
akbol,2,9,7,63000,48,1313,Zilokalnu 16,2021.12.09,2022.01.19,40,
bifni,4,6,6,189000,145,1303,Draudzības iela 6a,2021.12.23,2022.01.20,27,
bdeni,1,5,5,35000,27,1296,Mālkalnes prospekts 23,2022.01.14,2022.01.21,6,
bhlho,2,2,2,25200,52,485,Tīnūžu iela 8,2021.12.24,2022.01.21,27,
heonk,3,5,3,78900,66,1195,Grīvas prospekts 29,2021.12.11,2022.01.22,41,
acpjm,1,5,2,26400,28,943,Grīvas prospekts 6,2022.01.09,2022.01.24,14,
ahxln,1,5,5,26400,34,776,Mālkalnes prospekts 5,2022.01.18,2022.01.25,6,
cxieg,1,3,2,18900,24,788,Turkalnes 5,2022.01.20,2022.01.28,7,
bgioc,2,5,5,37900,48,790,Malakalnes 7,2021.11.20,2022.01.29,69,
fnlnx,2,3,3,32500,47,691,Celtnieku 6,2021.12.16,2022.01.29,43,
dibpo,2,9,3,49000,51,961,Ausekļu prospekts 7b,2022.01.19,2022.01.30,10,
afjcb,1,5,5,25900,34,762,Mālkalnes prospekts 5,2022.01.28,2022.02.01,3,
dlonf,2,5,1,50000,46,1087,Rīgas iela 6,2022.01.10,2022.02.01,21,
admjf,3,5,4,85000,64,1328,Darudzības 10,2022.01.05,2022.02.02,27,
ebenl,2,5,5,65000,54,1204,Parka 10,2021.12.26,2022.02.06,41,
eeejb,1,3,1,28000,26,1077,Tūrkalnes 5,2022.01.10,2022.02.07,27,
gjmpf,2,5,5,54000,55,982,Malkalnes 7,2021.12.28,2022.02.08,41,
gphpk,3,9,6,88000,66,1333,Rīgas 18,2022.01.04,2022.02.09,35,
boknh,2,2,2,28000,41,685,Grīvas prospekts 4,2022.02.01,2022.02.10,8,
cdbbp,2,5,1,31500,46,685,Grīvas prospekts 29,2022.02.10,2022.02.11,0,
ceboh,2,3,1,30300,42,721,Celtnieku 4,2022.01.15,2022.02.12,27,
aaoxj,2,5,5,36000,37,973,Mālkalnes prospekts 18,2022.01.13,2022.02.14,31,
agxcb,3,9,2,65000,62,1048,Ausekļu prospekts 2a,2022.01.03,2022.02.14,41,
bilgl,2,3,2,58500,62,944,Brīvības 115,2021.11.20,2022.02.15,86,
afpgb,2,1,1,55000,46,1196,Bērzu aleja 14,2022.02.02,2022.02.16,13,
bidim,4,5,5,94500,85,1109,Bērzu aleja 6,2022.02.03,2022.02.16,12,
bklmb,1,5,1,29500,34,868,Grīvas prospekts 27,2022.02.01,2022.02.21,15,
ahohg,4,9,6,78990,76,1039,Ausekļa prospekts 10,2022.01.18,2022.02.22,34,
clpbh,2,5,5,63000,50,1260,Lapu iela 4,2022.01.11,2022.02.22,41,
ejbkd,3,9,4,70000,62,1129,Ausekļa prospekts 5a,2021.11.28,2022.02.22,85,
fxobe,2,9,3,57000,50,1140,Jaunatnes iela 4,2022.02.01,2022.02.22,20,
gcghm,3,9,1,63000,62,1016,Zilokalnu prospekts 16,2022.02.15,2022.02.22,6,
hpxhl,4,9,2,85000,76,1118,Zilokalnu prospekts 20,2022.01.23,2022.02.22,29,
dlonf,2,5,1,50000,46,1087,Rīgas iela 6,2022.02.14,2022.02.23,8,
aeflx,3,3,1,63000,70,900,Brīvības iela 111,2022.02.21,2022.02.24,2,
ahdlj,2,5,1,82000,55,1496,Draudzības iela 6a,2022.01.28,2022.02.25,27,
bifni,4,6,6,189000,145,1303,Draudzības iela 6a,2022.01.28,2022.02.25,27,
ebenp,2,5,5,59390,49,1212,Mālkalnes 20,2022.01.28,2022.02.25,27,
hdkml,2,5,5,40000,48,833,Malkalnes prospekts 7,2022.02.02,2022.02.25,22,
efgdc,3,9,8,66000,66,1000,Rīgas iela 18,2022.01.16,2022.02.27,41,
ejbkd,3,9,4,66000,62,1065,Ausekļa prospekts 5a,2022.02.25,2022.02.28,2,
ahbhj,4,2,2,78000,70,1114,Tūjas 3,2022.02.27,2022.03.02,2,
adggo,1,5,3,26400,35,754,Grīvas prospekts 29,2022.03.01,2022.03.03,1,
cegid,2,9,8,60000,57,1053,Tīnūžu 3a,2022.01.20,2022.03.03,41,
fcdfi,1,5,5,42000,36,1167,Bērzu 123,2022.02.23,2022.03.04,8,
cgecj,3,9,9,78000,52,1500,Ikšķiles 2,2022.03.02,2022.03.05,2,
bhlho,2,2,2,23500,52,452,Tīnūžu iela 8,2022.02.09,2022.03.06,24,
bilgl,2,3,2,59500,62,960,Brīvības 115,2022.02.16,2022.03.07,18,
echlj,3,5,3,69500,62,1121,Ausekļa prospekts 1,2022.03.06,2022.03.07,0,
fdhmk,2,9,3,59900,50,1198,Ausekļa prospekts 5a,2022.01.25,2022.03.08,41,
aixhm,3,9,9,74000,62,1194,Zilokalnu prospekts 16,2022.02.26,2022.03.11,12,
bchbp,2,5,3,70000,52,1346,Ausekļa prospekts 1,2022.03.04,2022.03.13,8,
hxodj,3,9,6,63000,48,1313,Ikšķiles 2,2022.03.11,2022.03.15,3,
dlonf,2,5,1,50000,46,1087,Rīgas iela 6,2022.03.04,2022.03.16,11,
aongf,1,9,2,35000,32,1094,Vidus pr 16a,2022.03.10,2022.03.17,6,
hejdl,2,3,3,45000,43,1047,Grīvas prospekts 17,2022.02.28,2022.03.17,16,
agxcb,3,9,2,65000,62,1048,Ausekļu prospekts 2a,2022.02.18,2022.03.21,30,
aiexp,1,9,6,40000,37,1081,Zilokalnu prospekts 24,2022.02.21,2022.03.21,27,
clncf,2,5,3,50000,46,1087,Malkalnes prospekts 7,2022.02.07,2022.03.21,41,
dighl,3,9,9,68500,61,1123,Zilokalnu 16,2022.03.11,2022.03.21,9,
eeejb,1,3,1,28000,26,1077,Tūrkalnes 5,2022.02.21,2022.03.21,27,
ejbkd,3,9,4,66000,62,1065,Ausekļa prospekts 5a,2022.03.14,2022.03.21,6,
bgjck,4,9,9,85000,78,1090,Ausekļa prospekts 7a,2022.01.10,2022.03.22,70,
adbfh,3,5,1,98800,82,1205,Mednieku 19/1,2022.02.09,2022.03.23,41,
bfhkc,3,5,2,75000,59,1271,Mālkalnes 24,2022.03.07,2022.03.23,15,
gimbe,3,5,4,69500,59,1178,Mālkalnes prospekts 11,2022.03.23,2022.03.24,0,
bhlho,2,2,2,23000,50,460,Tīnūžu iela 8,2022.03.11,2022.03.25,13,
cijml,3,4,4,65000,53,1226,Grīvas prospekts 6,2022.02.27,2022.03.27,27,
dicjf,2,5,3,60000,52,1154,Ausekļa prospekts 1,2022.03.13,2022.03.28,14,
beipc,4,2,1,83500,86,971,Dravnieku iela 4,2022.03.17,2022.03.31,13,
cxcxp,2,2,2,23000,37,622,Lapu iela 13 4,2022.03.28,2022.03.31,2,
afejp,3,5,1,77000,59,1305,Mālkalnes prospekts 14,2022.01.29,2022.04.01,61,
afjcx,4,9,6,69980,76,921,Ausekļa pr. 10-59,2022.02.18,2022.04.01,41,
ebenp,2,5,5,59390,49,1212,Mālkalnes 20,2022.03.05,2022.04.02,27,
cihxe,2,3,1,40000,44,909,Celtnieku iela 2,2022.01.17,2022.04.03,75,
ehiob,2,9,9,52000,48,1083,Zilo kalnu prospekts 22,2022.02.06,2022.04.03,55,
affhp,1,9,9,36000,40,900,Tīnūžu 11,2022.03.29,2022.04.05,6,
akbpe,2,5,5,60000,52,1154,Lapu iela 11,2022.02.22,2022.04.05,41,
hpxhl,4,9,2,85000,76,1118,Zilokalnu prospekts 20,2022.03.08,2022.04.05,27,
dlonf,2,5,1,50000,46,1087,Rīgas iela 6,2022.03.25,2022.04.07,12,
heidh,1,5,2,45000,33,1364,Meža prospekts 6,2022.04.08,2022.04.13,4,
ahdlj,2,5,1,84000,55,1527,Draudzības iela 6a,2022.03.17,2022.04.14,27,
bifni,4,6,6,195000,145,1345,Draudzības iela 6a,2022.03.17,2022.04.14,27,
fcdfi,1,5,5,38700,36,1075,Bērzu 8a,2022.04.10,2022.04.14,3,
dpldg,2,3,1,30300,42,721,Celtnieku 2,2022.03.18,2022.04.15,27,
gjhdx,2,2,2,24000,52,462,Tīnūžu iela 8,2022.04.02,2022.04.17,14,
fhhde,2,5,2,57300,48,1194,Mālkalnes 13,2022.03.09,2022.04.20,41,
gdcib,2,5,5,57000,48,1188,Skolas iela 15,2022.03.23,2022.04.20,27,
achbp,1,5,4,40000,37,1075,Bērzu aleja 8a,2022.03.15,2022.04.21,36,
afcke,2,6,2,93000,76,1224,Mednieku 24,2022.03.24,2022.04.21,27,
fdhmk,2,9,3,59900,50,1198,Ausekļa prospekts 5a,2022.03.10,2022.04.21,41,
